,rank,name,year,Douban_rating,country,genres,budget,revenue,keywords,MLens_rating,tmdb_id
21,22,Zootopia,2016,9.2,US,Animation/Adventure/Family/Comedy,150000000,1023784195,allegory/lion/hippopotamus/fox/elephant/sheep/polar bear/bullying/moose/revenge/conspiracy/urban/female protagonist/cheetah/anthropomorphism/rabbit/rookie cop/missing person/racial prejudice/injustice/reconciliation/ram/stereotype/badger/discrimination/3d/police woman/yak/african buffalo/gazelle/three-toed sloth/arctic shrew/african elephant/honey badger/indian elephant/black jaguar/fennec fox/black rhinoceros/nine-banded armadillo,,269149
22,23,The Pursuit of Happyness,2006,9.1,US,Drama,55000000,307077295,san francisco/single parent/homeless person/bus/worker/homelessness/work/church service/bad luck/biography/salesman/stockbroker,3.8556701030927836,1402
23,24,Flipped,2010,9.0,US,Romance/Drama,14000000,1755212,shyness/based on novel or book/unrequited love/neighbor/family relationships/teenage boy/first crush/young love/opposites attract/multiple perspectives/1950s/1960s/based on young adult novel/eggs,4.1,43949
24,25,The Intouchables,2011,9.2,FR,Drama/Comedy,13000000,426480871,male friendship/masseuse/friendship/based on a true story/aristocrat/paragliding/interracial friendship/unlikely friendship/duringcreditsstinger/quadriplegic/quadriplegia,4.209302325581396,77338
25,26,The Dark Knight,2008,9.2,GB,Drama/Action/Crime/Thriller,185000000,1004558444,dc comics/crime fighter/secret identity/scarecrow/sadism/chaos/vigilante/joker/superhero/based on comic/tragic hero/organized crime/criminal mastermind/district attorney/super power/imax/super villain/batman,4.242967992240543,155
26,27,To Live,1994,9.2,CN,Drama/Romance/War,0,0,gambling/china/child abuse/communist/cultural revolution/chinese civil war/gambling debts/epic/shadow puppet/1940s/1950s/1960s,3.972972972972973,31439
27,28,Witness for the Prosecution,1957,9.6,US,Drama/Mystery/Crime,3000000,9000000,nurse/alibi/letter/widow/murder/lawyer/trial/cigarette smoking/courtroom/murder mystery/tiki culture,3.9879518072289155,37257
28,29,Gone with the Wind,1939,9.3,US,Drama/Romance/War,4000000,400176459,southern usa/loss of loved one/marriage proposal/atlanta/plantation/typhus/business woman/marriage crisis/american civil war/old south/early america,3.8500660501981505,770
29,30,Life of Pi,2012,9.0,US,Adventure/Drama/Action,120000000,609016565,ocean/zoo/shipwreck/hindu/tiger/faith/zebra/zookeeper/india/teenage boy/hyena/meerkat/cargo ship/lifeboat/injured animal/storm at sea,3.90625,87827
30,31,Dangal,2016,9.0,IN,Drama/Action,10400000,310000000,parent child relationship/feminism/empowerment/strong woman/training/biography/wrestling/sport/autobiography/domestic abuse/woman power/fighting/womanhood/endurance/woman vs woman fight/female empowerment/determination/strength training/abusive father/overcoming fears/woman empowerment,,360814
31,32,The Lord of the Rings: The Return of the King,2003,9.2,NZ,Adventure/Fantasy/Action,94000000,1118888979,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/based on novel or book/suspicion/volcano/power/giant spider/bravery/war/addiction/honor/royalty/troll/brutality/violence/ghost/wizard/quest/sword and sorcery,4.1266213712168005,122
32,33,Up,2009,9.0,US,Animation/Comedy/Family/Adventure,175000000,735099082,age difference/central and south america/balloon/duringcreditsstinger/exploring,4.030876494023905,14160
33,34,Devils on the Doorstep,2000,9.2,CN,Drama/War,0,0,world war ii/japanese occupation,3.0,25838
34,35,12 Angry Men,1957,9.4,US,Drama,350000,1000000,judge/jurors/sultriness/death penalty/father murder/puerto rican/anonymity/court case/heat/group/class/innocence/court/courtroom,4.231494920174166,389
35,36,Castle in the Sky,1986,9.1,JP,Adventure/Fantasy/Animation/Action/Family/Romance,0,0,flying/mine/magic/castle/lost civilisation/army/pirate/girl/government agent/floating/pendant/blue sky/air pirate/crystal/anime,4.046448087431694,10515
36,37,Coco,2017,9.1,US,Animation/Family/Comedy/Adventure/Fantasy,175000000,800526015,mexico/guitar/musician/skeleton/music/afterlife/latinx lead/singer/life after death/child/3d/day of the dead,,354912
37,38,Cinema Paradiso,1988,9.2,IT,Drama/Romance,0,11990401,sicily/movie business/parent child relationship/cinema/kiss/flashback/coming of age/haunted by the past/censorship/movie theatre/nuovo cinema paradiso,4.087771203155818,11216
38,39,The Last Emperor,1987,9.2,CN,Drama/History,23000000,43984230,buddhism/suicide/china/suicide attempt/war crimes/becoming an adult/isolation/war on drugs/opium/experiment/drug addiction/world war ii/revolution/emperor/arranged marriage/manchuria/dynasty/reeducation camp/biography/war/coup d'etat/autobiography/based on a true story/teacher/japanese occupation/beijing/dowager/decadence/communism/1920s/1940s/1950s/1910s/1930s,3.903133903133903,746
39,40,A Chinese Odyssey Part One: Pandora's Box,1995,9.0,HK,Fantasy/Adventure/Comedy,0,3237520,martial arts,,13345
40,41,Howl's Moving Castle,2004,9.0,JP,Fantasy/Animation/Adventure,24000000,236049757,flying/witch/rain/castle/scarecrow/body exchange/hatter/bakery/demon/anime/based on young adult novel,4.068661971830986,4935
41,42,Roman Holiday,1953,9.0,US,Comedy/Romance/Drama,1500000,12000000,rome italy/secret identity/boat/dance/intelligence/forbidden love/embassy/duty/sightseeing/photography/trevi fountain,4.1025236593059935,804
42,43,Fight Club,1999,9.0,DE,Drama,63000000,100853753,support group/dual identity/nihilism/fight/rage and hate/insomnia/dystopia/alter ego/violence/cult film/split personality/quitting a job/dissociative identity disorder,4.2191846522781775,550
43,44,Scent of a Woman,1992,9.0,US,Drama,31000000,134095253,blindness and impaired vision/tango/thanksgiving/boarding school/prank/colonel/student/blind/new york city/tears/new england/change of heart/preparatory school/ex military,3.7341772151898733,9475
44,45,Hope,2013,9.2,KR,Drama,0,0,hope,,255709
45,46,The Attorney,2013,9.2,KR,History/Drama,0,0,lawyer/democracy/representation/civil liberties/busan/the attorney/korea president/democratization movement/roh moo-hyun,,242452
46,47,Capernaum,2018,9.1,LB,Drama,4000000,64978931,child abuse/lebanon/refugee/neglect/beirut/lawsuit/child bride/undocumented immigrant/poverty,,517814
47,48,The Lives of Others,2006,9.1,DE,Drama/Thriller,2000000,70000000,germany/berlin germany/berlin wall/corruption/german democratic republic/stasi/blackmail/cold war/soviet union/propaganda/freedom of speech/house search/artists' life/spying/government/interrogation/surveillance/heartbreak/east germany/communism,4.206666666666667,582
48,49,Dead Poets Society,1989,9.1,US,Drama,16400000,235860116,individual/philosophy/poetry/william shakespeare/professor/literature/friendship/teacher/school play/vermont/schoolteacher/preparatory school/a midsummer night's dream/1950s,3.894275161588181,207
49,50,The Godfather: Part II,1974,9.2,US,Drama/Crime,13000000,102600000,italy/italian american/cuba/melancholy/praise/revenge/mafia/lawyer/blood/suburb/corrupt politician/bloody body of child/man punches woman,4.278561354019746,240
50,51,"Lock, Stock and Two Smoking Barrels",1998,9.1,GB,Comedy/Crime,1350000,28356188,ambush/alcohol/shotgun/tea/joint/machismo/cocktail/rifle/marijuana/pot smoking/hatchet/antique/cardsharp/anger/cult film/carjacking/piano/strip show/high stakes,4.007416563658838,100
51,52,The Lord of the Rings: The Two Towers,2002,9.1,NZ,Adventure/Fantasy/Action,79000000,926287400,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/based on novel or book/explosive/cave/power/siege/fort/army/addiction/mission/attack/guide/split personality/wizard/ring/sword and sorcery,4.1061872909699,121
52,53,One Flew Over the Cuckoo's Nest,1975,9.1,US,Drama,3000000,108981275,nurse/based on novel or book/oregon/lunatic asylum/friendship/hospital/female villain/shock treatment,4.235695708712614,510
53,54,The Lion King,1994,9.0,US,Family/Animation/Drama,45000000,987483777,loss of loved one/lion/musical/wild boar/uncle/shaman/redemption/king/scar/family/hyena/meerkat/mandrill,3.7819042871385844,8587
54,55,The Lord of the Rings: The Fellowship of the Ring,2001,9.0,NZ,Adventure/Fantasy/Action,93000000,871368364,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/loss of loved one/based on novel or book/river/mountain/mine/fireworks/castle/volcano/power/birthday party/uncle/addiction/battle/blizzard/wizard/journey/ring/sword and sorcery,4.1402010050251254,120
55,56,V for Vendetta,2005,8.9,DE,Action/Thriller/Fantasy,54000000,132511035,detective/dc comics/fascism/fascist/dystopia/government/chancellor/revenge/torture/hatred/masked vigilante/vengeful spirit/activist/vengeful,3.9374158815612383,752
56,57,A Beautiful Mind,2001,9.0,US,Drama/Romance,60000000,313542341,individual/schizophrenia/usa/massachusetts/love of one's life/intelligence/mathematician/market economy/economic theory/princeton university/nobel prize/mathematical theorem/m.i.t./biography/mathematics/delusion,3.914406779661017,453
57,58,Eat Drink Man Woman,1994,9.1,TW,Comedy/Drama/Romance,0,7294403,cooking/sense of life/daughter/dating/family,4.041925465838509,10451
58,59,The Monkey King,1961196419782004,9.3,CN,Animation/Adventure/Fantasy,0,0,,,47759
59,60,Harry Potter and the Philosopher's Stone,2001,8.9,GB,Adventure/Fantasy/Family,125000000,976475550,witch/based on novel or book/christmas party/magic/halloween/child hero/broom/chosen one/frog/fantasy world/wizard/based on young adult novel/wizarding world/hogwarts,3.5746187363834423,671
60,61,The Pianist,2002,9.1,FR,Drama/War,35000000,120072577,resistance/holocaust (shoah)/hunger/world war ii/prisoner of war/homeland/ghetto/deportation/hiding place/jew persecution/liberation/warsaw ghetto/polish resistance/nazi/biography/concert/survival/based on memoir or autobiography/pianist/poland,4.066539923954372,423
61,62,The Cove,2009,9.3,US,Documentary,0,1162422,japan/ocean/dolphin/nationalism/suffering/dying and death/whaling/expose/fishing boat/activist/cove,3.802325581395349,23128
62,63,The Curious Case of Benjamin Button,2008,8.9,US,Fantasy/Drama/Thriller/Mystery/Romance,150000000,333932083,diary/navy/funeral/tea/travel/hospital/based on short story/reverse aging,3.5938967136150235,4922
63,64,The Matrix,1999,9.0,AU,Action/Science Fiction,63000000,463517383,saving the world/artificial intelligence/man vs machine/philosophy/prophecy/martial arts/self sacrifice/fight/insurgence/virtual reality/dystopia/truth/cyberpunk/dream world/woman director/messiah/gnosticism/trans director,4.1763401109057305,603
64,65,Love Letter,1995,8.9,JP,Drama/Romance,0,0,,,47002
65,66,The Invisible Guest,2016,8.8,ES,Mystery/Crime/Thriller,4000000,30000000,judge/suspect/interrogation/false accusation of murder/unreliable narrator/confession of crime/uncover truth/accusation,,411088
66,67,Let the Bullets Fly,2010,8.8,CN,Action/Comedy,0,0,china/satire/western/bandit/bandit gang,,51533
67,68,Malena,2000,8.8,IT,Drama,0,14493284,sicily/jealousy/world war ii/longing/sex trafficking/intrigue/pretty woman,3.75,10867
68,69,Catch Me If You Can,2002,8.9,US,Drama/Crime,52000000,352114312,fbi/con man/biography/based on a true story/attempted jailbreak/engagement party/mislaid trust/bank fraud/inspired by a true story,3.878125,640
69,70,Children of Heaven,1997,9.2,IR,Drama/Comedy/Family,180000,925402,sibling relationship/class/foot race,4.0,21334
70,71,Saving Private Ryan,1998,9.0,US,Drama/History/War,70000000,481840909,war crimes/self sacrifice/war veteran/world war ii/war ship/airplane/bravery/normandy/parachute/troops/waffen ss/omaha beach/army/cowardice/american flag/war memorial/deserted town/military/1940s,4.0674924165824065,857
71,72,Dying to Survive,2018,9.0,CN,Drama/Comedy,0,0,,,532753
72,73,Once Upon a Time in America,1984,9.2,US,Drama/Crime,20000000,5300000,life and death/corruption/street gang/rape/sadistic/lovesickness/sexual abuse/regret/prohibition era/money laundering/opium/gangster/mafia boss/murder/memory/torture/new york city/brooklyn bridge/childhood friends/1920s/1960s/1930s,3.8524590163934427,311
73,74,The Sound of Music,1965,9.0,US,Drama/Family/Music/Romance,8200000,286214286,resistance/austria/world war ii/musical/music competition/salzburg/based on play or musical/classic/alps/governess/convent/novice/puppet show/nun in love/nazi occupation/1930s,3.7904564315352696,15121
74,75,The Prestige,2006,8.8,US,Drama/Mystery/Thriller,40000000,109676311,competition/secret/obsession/magic/diary/dying and death/class society/illusion/tricks/hostility/class/partner/rivalry/nikola tesla/tesla coil,4.033913043478261,1124
75,76,Se7en,1995,8.8,US,Crime/Mystery/Thriller,33000000,327311859,self-fulfilling prophecy/detective/s.w.a.t./drug dealer/evisceration/lust and impulsiveness/rage and hate/pride and vanity/immoderateness/insomnia/investigation/pension/police/serial killer/neo-noir,4.078090138331103,807
76,77,Pulp Fiction,1994,8.8,US,Thriller/Crime,8000000,213928762,"transporter/drug dealer/boxer/massage/stolen money/crime boss/dance competition/junkyard/kamikaze/briefcase/redemption/heirloom/los angeles, california/theft/violence/nonlinear timeline/shared universe",4.153516295025729,680
77,78,The Boy in the Striped Pyjamas,2008,9.1,GB,War/Drama,12500000,20416563,nationalism/concentration camp/world war ii/gas chamber/nazi/concentration camp prisoner/children in wartime,3.7301587301587302,14574
78,79,Memories of Matsuko,2006,8.9,JP,Comedy/Drama/Music,0,0,musical,1.5,31512
79,80,The Silence of the Lambs,1991,8.8,US,Crime/Drama/Thriller/Horror,19000000,272742922,based on novel or book/fbi/kidnapping/psychopath/horror/murder/serial killer/psychological thriller/cannibal/moth/cannibalism,4.184785956267324,274
80,81,The Butterfly Effect,2004,8.8,CA,Science Fiction/Thriller,13000000,96060858,amnesia/chaos theory/blackout/time travel/flashback,3.6974522292993632,1954
81,82,Happy Together,1997,8.9,HK,Drama/Romance,0,0,homosexuality/independent film/argentina/asian lgbt,3.763157894736842,18329
82,83,Good Will Hunting,1997,8.9,CA,Drama,10000000,225933435,baseball/boston/professor/m.i.t./harvard university/ambition/mathematics/genius/love/friends/flashback/janitor/irish/psychologist/university/courtroom/prodigy,4.024966261808367,489
83,84,Shutter Island,2010,8.8,US,Drama/Thriller/Mystery,80000000,294804195,based on novel or book/island/hurricane/investigation/psychiatric hospital/u.s. marshal/conspiracy theory/neo-noir/1950s,3.925806451612903,11324
84,85,Braveheart,1995,8.9,US,Action/Drama/History/War,72000000,210000000,individual/scotland/in love with enemy/revolution/kilt/legend/independence/freedom/idealism/family clan/battle/united kingdom/revolt/tyranny/false history/highlands/13th century/scottish highlands/warfield,4.038227938549482,197
85,86,The Grand Budapest Hotel,2014,8.8,DE,Comedy/Drama,30000000,174600318,hotel/eastern europe/painting/author/wartime/gunfight/theft/bellboy/mentor protégé relationship/european/hotel lobby/renaissance painting/1960s/1930s,4.066371681415929,120467
86,87,Edward Scissorhands,1990,8.7,US,Fantasy/Drama/Romance,20000000,53000000,underdog/love at first sight/hairdresser/small town/scissors/inventor/burglar/unsociability,3.7504401408450705,162
87,88,Amélie,2001,8.7,FR,Comedy/Romance,10000000,173921954,"paris, france/love triangle/ghost train/sex-shop/shyness/montmartre/daughter/garden gnome/journey round the world/photography",4.217495987158909,194
88,89,Avatar,2009,8.7,US,Action/Adventure/Fantasy/Science Fiction,237000000,2787965087,culture clash/future/space war/space colony/society/space travel/futuristic/romance/space/alien/tribe/alien planet/marine/soldier/battle/love affair/space opera/anti war/power relations/mind and soul,3.847916666666667,19995
89,90,Modern Times,1936,9.3,US,Drama/Comedy,1500000,8500000,factory/ambulance/invention/tramp/great depression/industrial revolution/slapstick/machine/pardon/guilty,4.165829145728643,3082
90,91,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.7,US,Adventure/Fantasy/Action,140000000,655011224,exotic island/blacksmith/east india trading company/gold/marriage proposal/mutiny/jamaica/skeleton/daughter/governor/wooden eye/gold coin/pirate/alcoholic/swashbuckler/caribbean/aftercreditsstinger/pirate ship/capuchin monkey/tortuga,3.8849658314350797,22
91,92,Identity,2003,8.8,US,Mystery/Thriller,10000000,0,prostitute/detective/nevada/prisoner/rain/motel/weather/psychopath/ex-cop/stranded/murder/serial killer/scream/storm/psychiatrist/convict/thunderstorm/rainstorm/split personality/mental disorders/murder mystery/dissociative identity disorder/isolated place,3.6196911196911197,2832
92,93,Princess Mononoke,1997,8.9,JP,Adventure/Fantasy/Animation,26500000,159375308,fight/wolf/leprosy/pan/wild boar/territory/feral child/friendship/princess/good vs evil/rural setting/decapitation/spirit/demon/deforestation/anime,4.136956521739131,128
93,94,Brokeback Mountain,2005,8.8,CA,Drama/Romance,14000000,178043761,gay/countryside/homophobia/wyoming/intolerance/daughter/marriage crisis/secret love/cowboy/star crossed lovers,3.579310344827586,142
94,95,Departures,2008,8.8,JP,Drama,0,69932387,coffin/octopus/cello/dying and death/funeral/musical/based on memoir or autobiography/odd job/yamagata,3.7560975609756095,16804
95,96,King of Comedy,1999,8.7,HK,Comedy/Drama/Romance,0,0,,,53168
96,97,In the Heat of the Sun,1994,8.8,CN,Drama,0,0,based on novel or book/1970s/cultural revolution/coming of age/teenage boy/beijing,,161285
97,98,Chungking Express,1994,8.7,HK,Drama/Comedy/Romance,0,0,ex-girlfriend/drug smuggle/girlfriend/snack bar/romance/hong kong/pineapple/expiration date/flight attendant,3.824324324324324,11104
98,99,The Hunt,2012,9.1,DK,Drama,3800000,18309793,parent child relationship/lie/pedophilia/kindergarten/father/children/teacher/school/pedophile/divorce,3.972972972972973,103663
99,100,The Sixth Sense,1999,8.9,US,Mystery/Thriller/Drama,40000000,672806292,philadelphia/child abuse/loss of loved one/sense of guilt/confidence/psychology/dying and death/marriage crisis/afterlife/single/paranormal phenomena/cowardliness/single mother/school play/ghost/child/spiritism/ghost child,4.049091801669121,745
100,101,Heidi,2015,9.2,DE,Adventure/Family,8800000,0,friendship/orphan/family/swiss alps,,365045
101,102,Memories of Murder,2003,8.8,KR,Crime/Drama/Thriller,2800000,26000000,corruption/rape/detective/assassin/evidence/suspect/victim/investigation/police/based on a true story/murder/true/torture/brutality/killer,4.014285714285714,11423
102,103,Mary and Max,2009,8.9,AU,Animation/Comedy/Drama,590235,1725381,chocolate/letter/birthmark/only child/approach/australia/bullying/friendship bracelet/pen pals/atheist/loneliness/stop motion/neighbor/phone book/unlikely friendship/correspondence/eating disorder/asperger's syndrome,4.0519480519480515,24238
103,104,Gone Girl,2014,8.7,US,Mystery/Thriller/Drama,61000000,369330363,based on novel or book/wife/investigation/marriage crisis/disappearance/cheating husband/missing person/search party/criminal lawyer/wife murder/murder suspect/missing wife,3.7950819672131146,210577
104,105,Little Forest: Summer/Autumn,2014,9.0,JP,Drama,0,0,agriculture/japanese culture/food/rural setting/nature,,294682
105,106,Call Me by Your Name,2017,8.8,US,Romance/Drama,4000000,41063475,italy/upper class/based on novel or book/swimming pool/love/gay relationship/coming of age/summer/teenage boy/masturbation/first love/lgbt/jewish family/1980s/peach,,398818
106,107,Confessions,2010,8.7,JP,Drama/Thriller/Mystery,0,0,child murder,3.5,54186
107,108,Yi Yi,2000,9.0,TW,Drama/Romance,0,0,love triangle/business man/daughter/photography/middle class/bullying/wedding/family/taipei,3.9423076923076925,25538
108,109,Big Fish,2003,8.8,US,Adventure/Fantasy/Drama,70000000,122919055,circus/witch/parent child relationship/fish/fishing/love of one's life/leech/story teller/apoplectic stroke/fair/mermaid/cancer/relationship/youth/gentle giant,3.819423368740516,587
109,110,Before Sunrise,1995,8.8,AT,Drama/Romance,2500000,5535405,sunrise/talking/soulmates/walking/austria/vienna austria/traveller/danube/romantic,3.885159010600707,76
110,111,Paprika,2006,9.0,JP,Animation/Drama/Mystery/Science Fiction/Thriller,0,944915,japan/dream/procession/psychoanalysis/research/mad scientist/dream girl/parallel world/dream world/anime,3.8716216216216215,4977
111,112,Sunny,2011,8.8,KR,Drama,3550000,48000000,bullying/gang/experimental,3.5,77117
112,113,Whisper of the Heart,1995,8.9,JP,Animation/Drama/Family,0,0,italy/library/cat/dream/writing/education/book/violin/love/train/high school student/imagination/violin maker/grade/anime,3.9130434782608696,37797
113,114,The Eagle Shooting Heroes,1993,8.7,HK,Action/Comedy,0,0,,,55157
114,115,Miracle in Cell No. 7,2013,8.8,KR,Drama/Comedy,0,0,parent child relationship/prison cell,3.5,158445
115,116,Comrades: Almost a Love Story,1996,8.8,HK,Drama/Romance,0,0,,,37185
116,117,Detachment,2011,8.9,US,Drama,0,72689,falsely accused/depression/classroom/grandfather/unhappiness/animal abuse,3.5,74308
117,118,A Chinese Ghost Story,1987,8.7,HK,Fantasy/Action,0,0,horror/rescue/elope/monsters of the wild/hell storming/spirit,3.6875,30421
118,119,Harry Potter and the Deathly Hallows: Part 2,2011,8.8,GB,Fantasy/Adventure,125000000,1342000000,self sacrifice/magic/frog/sorcerer/school/wizard/3d/based on young adult novel/wizarding world,3.9425,12445
119,120,Little Forest: Winter/Spring,2015,9.0,JP,Drama,0,0,agriculture/japanese culture/food/rural setting/nature,,336026
120,121,How to Train Your Dragon,2010,8.7,US,Fantasy/Adventure/Animation/Family,165000000,494878759,flying/blacksmith/arena/island/night/ship/training/village/forest/viking/friendship/ignorance/flight/nest/dragon/battle/combat/well/warrior,4.064102564102564,10191
121,122,The Dark Knight Rises,2012,8.7,US,Action/Crime/Drama/Thriller,250000000,1081041287,dc comics/crime fighter/terrorist/secret identity/burglar/hostage drama/time bomb/vigilante/cover-up/superhero/based on comic/villainess/tragic hero/terrorism/destruction/criminal underworld/catwoman/cat burglar/imax/flood,4.079831932773109,49026
122,123,Kikujiro,1999,8.8,JP,Comedy/Drama/Family,0,0,japan/trip/loser/road trip/travel/disappearance/summer/hitchhike,3.7884615384615383,4291
123,124,The Terror Live,2013,8.8,KR,Action/Thriller,0,0,,,209764
124,125,Before Sunset,2004,8.8,US,Drama/Romance,2700000,15992615,"paris, france/journalist/talking/soulmates/walking/bookshop/love of one's life/author",3.9689119170984455,80
125,126,The Flirting Scholar,1993,8.6,HK,Drama/Comedy/Romance,0,0,disguise/15th century,,37703
126,127,Hotarubi no Mori e,2011,8.8,JP,Romance/Animation/Fantasy,0,0,supernatural/slice of life/based on manga/spirit/folklore/japanese mythology/anime,,92321
127,128,The Terminal,2004,8.8,US,Comedy/Drama,60000000,219417255,new york/airport/marriage proposal/translation/craftsman/stewardess/illegal immigration/language barrier/jfk international airport/immigration law/fast food restaurant/jazz musician/saxophonist/autograph/passport/eastern europe/friendship,3.4857142857142858,594
128,129,Big Hero 6,2014,8.6,US,Adventure/Family/Animation/Action/Comedy,165000000,657818612,sibling relationship/hero/talent/friendship/revenge/best friend/another dimension/robot/boy genius/hate/aftercreditsstinger/moral dilemma/3d/teen superhero/dead brother,4.035714285714286,177572
129,130,The Secret World of Arrietty,2010,8.8,JP,Fantasy/Animation/Family,23000000,145570827,japan/based on novel or book/cat/forest/based on children's book/little people/dollhouse/anime,3.685185185185185,51739
130,131,Nausicaä of the Valley of the Wind,1984,8.8,JP,Adventure/Animation/Fantasy,1000000,3301446,saving the world/human vs nature/fungus spores   /future/airplane/post-apocalyptic/war/giant insect/toxic/based on manga/ecology/duringcreditsstinger/anime,4.14367816091954,81
131,132,Nobody Knows,2004,9.1,JP,Drama,0,0,"japan/sibling relationship/loss of loved one/season/tokyo, japan/kids on their own",3.75,2517
132,133,Despicable Me,2010,8.6,US,Animation/Family/Comedy,69000000,543513985,parent child relationship/adoptive father/orphanage/life's dream/rivalry/stealing/ballet/little girl/orphan/tomboy/intelligent/kids/evil doctor/duringcreditsstinger/minions/supervillain/3d/despicable/cattivissimo,3.786259541984733,20352
133,134,City of God,2002,8.9,BR,Drama/Crime,3300000,30641770,street gang/photographer/brazil/rio de janeiro/ghetto/gang war/coming of age/woman director,4.258513931888545,598
134,135,"Monsters, Inc.",2001,8.7,US,Animation/Comedy/Family,115000000,562816256,monster/cheating/kidnapping/infant/villain/panic/energy supply/company/portal/rivalry/hijinks/best friend/scream/chameleon/parallel world/conveyor belt/invisibility/energy company/friend/conspirators,3.865843949044586,585
