,rank,name,year,Yahoo_rating,country,genres,budget,revenue,keywords,MLens_rating,tmdb_id
54,55,Family,1983,4.46,US,Comedy/Family/Fantasy,47000000.0,48919043.0,sibling relationship/jealousy/baby/butler/yuppie/nanny/summer camp/guillotine/uncle,3.0060043668122267,2758
55,56,Matthew Bone's Swan Lake 3D,2012,4.46,,,,,,,0
56,57,Terminator,1984,4.45,GB,Action/Thriller/Science Fiction,6400000.0,78371200.0,"saving the world/artificial intelligence/rebel/cyborg/laser gun/shotgun/killer robot/dystopia/los angeles, california/car chase/urban setting/future war/griffith observatory",3.924776286353468,218
57,58,Little Dancer,2000,4.45,BR,Music,0.0,0.0,,,643027
58,59,Wings of Harken Kreuz,2004,4.45,,,,,,,0
59,60,Ulysses Eyes,1995,4.45,,,,,,,0
60,61,`` Saki-Achiga Episode of side-A '',2018,4.44,JP,Drama,0.0,0.0,mahjong,,549809
61,62,Once Upon A Time in America / Complete Edition,1984,4.44,,,,,,,0
62,63,Tange Left Story Hyakugo no Uta,1935,4.44,,,,,,,0
63,64,Whether to Live or Die,1942,4.44,,,,,,,0
64,65,Eyes Eyes,1957,4.44,,,0.0,0.0,,,576487
65,66,Sonata for the Good,2006,4.43,,,,,,,0
66,67,Stella,1990,4.43,US,Romance/Drama,0.0,20240128.0,,3.0,47329
67,68,Twenty Four Eyes,1954,4.43,JP,Drama,0.0,0.0,patriotism/bus ride/sino japanese war/school/blind/poverty/anti war/schoolteacher/snare/class reunion,,43339
68,69,Pirate Sentai Gokaiger VS Space Sheriff Gavan THE MOVIE,2011,4.43,JP,Action/Adventure/Science Fiction,0.0,0.0,tokusatsu/metal hero series/space sheriff gavan,,200424
69,70,Cine Demon in the woods,2007,4.43,,,,,,,0
70,71,Hole,1960,4.43,GB,Crime/Drama/Horror/Thriller,0.0,0.0,jealousy/obsession/claustrophobia/bunker/thirst/group dynamics/bulimia/wrong accusal/alibi/supernatural/murder/psychologist/youth/celebration,3.3125,467
71,72,Love Song,1996,4.43,,Romance/TV Movie,0.0,0.0,ex-lover/christmas/return home/estranged family/country singer,,631403
72,73,If You Are / Tamae Kanae,1994,4.43,,,,,,,0
73,74,Music Box,1989,4.43,US,Thriller,0.0,6263883.0,war crimes/jurors/proof/court case/sentence/daughter/court,3.4166666666666665,2263
74,75,Back to the Future PART2,1989,4.42,,,,,,,0
75,76,The Godfather PART II,1974,4.42,US,Drama/Crime,13000000.0,102600000.0,italy/italian american/cuba/melancholy/praise/revenge/mafia/lawyer/blood/suburb/corrupt politician/bloody body of child/man punches woman,4.278561354019746,240
76,77,The St. Of Woman The Fragrance of Dreams,1992,4.42,,,,,,,0
77,78,Tokyo Story,1953,4.42,JP,Drama,0.0,0.0,coma/beach/baby/fish/boat/office/baseball/classroom/dream/trip/lantern/lie/ambition/water/tea/song/retirement/cake/marriage/peace/class/swing/honor/gift/teacher/school/old man,3.844827586206896,18148
78,79,The Battle Without Innocence 2 Hiroshima Death Fight,1973,4.42,,,,,,,0
79,80,My Name is Hahn,2010,4.42,,,,,,,0
80,81,Thunderbolt Fantasy Life and Death,2017,4.42,,,,,,,0
81,82,Night and Fog,1955,4.42,FR,History/Documentary/War,0.0,0.0,germany/destruction of a civilization/polen/world war ii/prisoner of war/auschwitz-birkenau concentration camp/nazi/independent film/nazi germany/torture/short,3.882352941176471,803
82,83,Wild Lilies,1963,4.42,XC,Drama,0.0,0.0,,,46215
83,84,No People Poor and Beautiful,1961,4.42,,,,,,,0
84,85,Freedom Illusion,1974,4.42,,,,,,,0
85,86,Dark Knight Series 2 Dark Knight,2008,4.41,,,,,,,0
86,87,Love Songs for Angels ...,1992,4.41,,,,,,,0
87,88,The World's Fastest Indian,2005,4.41,NZ,Drama,25000000.0,0.0,new zealand/utah/life's dream/motor sport/independent film/motorcycle/trailer/mortgage/1960s/speed records,3.7434210526315783,9912
88,89,Infantal Affair,2002,4.41,,,,,,,0
89,90,Setouchi Pirate Story,2013,4.41,,,,,,,0
90,91,Miracle,1962,4.41,US,Drama,500000.0,2500000.0,blindness and impaired vision/education/biography/historical figure/teacher/tutor/tantrum/railway station/institution/19th century/struggle/blind child,3.8571428571428568,1162
91,92,Red Dream,1991,4.41,US,Family/Animation,0.0,0.0,,5.0,13926
92,93,Love Story,1956,4.41,US,Romance/TV Movie,0.0,0.0,choir/single father/christmas,,626313
93,94,Dako and Anton,2000,4.41,,,,,,,0
94,95,Dream,2016,4.4,CA,Romance/TV Movie,0.0,0.0,department store/single father/christmas,,415962
95,96,Wonder You are the Sun,2017,4.4,,,,,,,0
96,97,Amadeus,1984,4.4,US,Drama/History/Music,18000000.0,51973029.0,italy/austria/composer/opera/talent/emperor/musician/marriage crisis/mozart/god/murder/vienna austria/envy/18th century,4.063870352716873,279
97,98,Kurosawa Movie 13 Live,1952,4.4,,,,,,,0
98,99,Osaka Hamlet,2008,4.4,JP,Drama,0.0,0.0,,,382560
99,100,Lorenzo Oil / Poem of Life,1992,4.4,,,,,,,0
100,101,Chest!,2008,4.4,US,Adventure/Fantasy/Action,200000000.0,1065659812.0,witch/fortune teller/bondage/exotic island/monster/captain/card game/east india trading company/compass/ship/daughter/pirate/swashbuckler/aftercreditsstinger,3.4721669980119283,58
101,102,Mirko no Hikari,2005,4.4,,,,,,,0
102,103,Joey,1977,4.4,US,TV Movie/Drama,0.0,0.0,,,359091
103,104,Anne of Redhead / Complete Edition,1986,4.4,,,,,,,0
104,105,Paddington 2,2017,4.39,FR,Adventure/Comedy/Family,40000000.0,185847106.0,"london, england/based on novel or book/sequel/bear/train/based on children's book/animal/aging actor",,346648
105,106,"Wonderful Life, Life!",1946,4.39,,,,,,,0
106,107,Hanai's Hanabi,2010,4.39,,,,,,,0
107,108,In the rain,1952,4.39,US,Comedy/Music/Romance,2540800.0,7200000.0,"fan/morning/musical/talkie/partner/film in film/hollywood, california/broadway/audience/chorus girl/diction coach/pearl necklace/flapper/1920s",4.097785977859779,872
108,109,Billy Elliot Musical Live / Little Dancer,2014,4.39,,,,,,,0
109,110,Flight to the Unknown,1964,4.39,,,,,,,0
110,111,Summer Story,1988,4.39,GB,Romance/Drama,0.0,0.0,england/past,,123623
111,112,THE MISSION,1999,4.39,FR,Adventure/Drama/Action/History,24500000.0,17218023.0,christianity/brazil/waterfall/mission/argentina/jungle/colonisation/south america/18th century/indigenous peoples/assimilation/jesuit priest,3.860655737704918,11416
112,113,Fleeting,1973,4.39,GB,,0.0,0.0,,,620910
113,114,Gran Torino,2008,4.38,US,Drama,33000000.0,269958228.0,rape/war veteran/immigration/gangster/priest/gang/old man/teenager/detroit/widower/car/hmong,3.993865030674847,13223
114,115,New World,2013,4.38,US,Drama/History/Romance,30000000.0,30536013.0,chief/colonialism/virginia/new world/17th century,3.4047619047619047,11400
115,116,Kurosawa Movie 22 Heaven and Hell,1963,4.38,,,,,,,0
116,117,Mud River,1981,4.38,JP,Drama,0.0,0.0,,,125257
117,118,A man is hard 17 Junjiro Evening small burnt,1976,4.38,,,,,,,0
118,119,East wind blowing in the schoolyard,2016,4.38,,,,,,,0
119,120,Indigo summer love,2002,4.38,,,,,,,0
120,121,Anne of red hair,1986,4.38,,,,,,,0
121,122,"Corina, Corina",1994,4.38,US,Comedy/Drama/Family/Romance,0.0,0.0,loss of loved one/daughter/friendship/mute/housekeeper/xenophobia/woman director,3.2131147540983607,10464
122,123,Boundary of the sky / Chapter 5 Contradiction spiral,2008,4.38,,,,,,,0
123,124,In love with the sun,2000,4.38,,,,,,,0
124,125,Someone loves you,1987,4.38,PH,Drama,0.0,0.0,philippines/woman director,,334300
125,126,Remember me,2017,4.37,US,Drama/Romance,16000000.0,56032889.0,new york/parent child relationship/grieving/young adult/college student/21st century,3.5769230769230766,23169
126,127,Life is beautiful,1997,4.37,IT,Comedy/Drama,20000000.0,229400000.0,italy/riddle/loss of loved one/bookshop/self sacrifice/mass murder/concentration camp/fascism/world war ii/love of one's life/deportation/jew persecution/nazi/national socialism/charade/riding a bicycle/story teller/concentration camp prisoner/dying and death,4.175051334702259,637
127,128,New Cinema Paradise,1988,4.37,,,,,,,0
128,129,Alien 2,1986,4.37,US,Action/Thriller/Science Fiction,18500000.0,183316455.0,android/extraterrestrial technology/space marine/spaceman/cryogenics/vacuum/space colony/warrior woman/settler/space travel/colony/alien/xenomorph,3.9907343857240902,679
129,130,Dungal Surely Soon,2016,4.37,,,,,,,0
130,131,Midnight Run,1988,4.37,US,Adventure/Comedy/Crime,30000000.0,38413606.0,"crooked lawyer/bail jumper/mafia accountant/stretch limousine/manhattan, new york city/southwestern u.s./bus station/police surveillance",3.8672727272727268,9013
131,132,Verf Bali 2 King's Triumph Complete Edition,2017,4.37,,,,,,,0
132,133,The Call of the Mountain,1980,4.37,CH,Adventure/Romance,0.0,0.0,,,272871
133,134,Miss Saigon 25th Anniversary Performance in London,2016,4.37,,,,,,,0
134,135,The Most Violent Dressing Plan,2004,4.37,,,,,,,0
135,136,Three Fugitives,1988,4.37,US,Comedy,15000000.0,40590000.0,release from prison/daughter/remake/on the run/fugitive/bank robbery/ex-con/girl disguised as boy/odd couple/comedy of errors/running from police/false accusation,2.6730769230769234,31608
136,137,Eleni's Journey,2004,4.37,,,,,,,0
137,138,Christmas Carol,1970,4.37,US,Animation/Family,200000000.0,325233863.0,holiday/based on novel or book/victorian england/money/ghost/lesson/charles dickens/christmas music/christmas,2.7777777777777777,17979
138,139,Even if Tomorrow Does Not Come,2003,4.37,,,,,,,0
139,140,Back to the Future PART3,1990,4.36,,,,,,,0
140,141,Schindler's List,1993,4.36,US,Drama/History/War,22000000.0,321365567.0,based on novel or book/factory/concentration camp/hero/holocaust (shoah)/world war ii/ghetto/jew persecution/krakow/auschwitz-birkenau concentration camp/industrialist/jew/nazi/defense industry/biography/based on a true story/train/poland/ss/weapons manufacturer,4.2956120092378764,424
141,142,Shabondama,2016,4.36,NL,Drama/Action/Thriller/Romance,0.0,0.0,,,61962
142,143,Chaplin dictator,1940,4.36,US,Comedy,2000000.0,11000000.0,germany/dictator/hairdresser/amnesia/fascism/world war ii/jewish ghetto/world war i/jew/nazi/propaganda/national socialism/national socialist party/speech/satire/good vs evil/barber shop,4.149321266968326,914
143,144,Poplar Fall,2015,4.36,,,,,,,0
144,145,Bolero of Love and Sorrow,1981,4.36,,,,,,,0
145,146,Oasis,2002,4.36,,Drama/Thriller/Horror,337.0,0.0,,,623338
146,147,Clown's Red Nose,2013,4.36,,,,,,,0
147,148,Chikamatsu Story,1954,4.36,,,,,,,0
148,149,Winter Light,1962,4.36,US,Documentary/Music,0.0,0.0,avant-garde/short/vivaldi,,349820
149,150,Korya Love Prague,1996,4.36,,,,,,,0
150,151,Rocky 1,1976,4.35,US,Drama,1000000.0,117235147.0,underdog/philadelphia/transporter/italian american/fight/love of one's life/publicity/boxer/independence/boxing match/training/lovers/surprise/world champion/amateur/victory,3.7174479166666665,1366
151,152,American History X,1998,4.35,US,Drama,20000000.0,23875127.0,"usa/neo nazism/prison/skinhead/sibling relationship/rape/fascism/brother/basketball/jail/school/swastika/los angeles, california/family/hate/xenophobia/interracial friendship/nazism",4.16597853014038,73
152,153,Apartment Key Rental,1960,4.35,,,,,,,0
153,154,Hello! ? Ghost,2010,4.35,KR,Horror/Comedy/Drama,0.0,0.0,,,62439
154,155,Follow Me,1973,4.35,,Documentary,0.0,0.0,,,562250
155,156,Rudy / Winning Run of Tears,1993,4.35,,,,,,,0
156,157,Nicholas Winton and 669 Children,2011,4.35,,,,,,,0
157,158,Who are your friends?,1987,4.35,,,,,,,0
158,159,The man who shot Liberty Balance,1962,4.35,,,,,,,0
159,160,M,1931,4.35,DE,Drama/Action/Thriller/Crime,0.0,0.0,germany/berlin germany/underworld/child murderer/detective inspector/investigation/psychopath/organized crime/black and white/criminal/child killer/pre-code/psycho/expressionism/german expressionism,4.209251101321587,832
160,161,Cinderella,2011,4.35,US,Comedy/Family/Romance,0.0,0.0,music/high school/aspiring singer/orphan/teenager/teenage romance/modern fairy tale,,74018
161,162,Kids Return Kids Return,1996,4.34,,,,,,,0
162,163,Distant Dawn,1987,4.34,,,,,,,0
163,164,Departure-From Ashoro,2008,4.34,,,,,,,0
164,165,The Summer of Crispy,1999,4.34,,,,,,,0
165,166,Seven Persons in Acupuncture,1975,4.34,,,,,,,0
166,167,Black Eyes,1987,4.34,US,,0.0,0.0,,,174159
167,168,Tolerance,1916,4.34,TH,Thriller/Action/Crime,5000000.0,0.0,,,273238
168,169,Guardians of the Galaxy: remix,2017,4.33,,,,,,,0
169,170,Bafubari 2 King of the Arc de,2017,4.33,,,,,,,0
170,171,project a,1983,4.33,HK,Action/Comedy/Adventure,0.0,0.0,sea/martial arts/coast guard/british empire/police/hong kong/pirate/smuggler/19th century,4.2,21519
171,172,Kid,1921,4.33,US,Comedy/Drama,250000.0,2500000.0,angel/suicide attempt/fistfight/slapstick/class differences/rich poor/foundling/silent film/dream sequence/semi autobiographical/car theft/little tramp/illegitimate child/unwed mother/abandoned baby/out of wedlock child/raised like own child/good deed doer,3.873134328358209,10098
172,173,mice and Men,1992,4.33,US,Drama,0.0,5471088.0,dream/worker/country life/farm worker/farm/error/great depression,3.6337209302325584,9609
173,174,my valley Ki becomes green,1941,4.33,,,,,,,0
174,175,Fanny and Alexander,1982,4.33,SE,Fantasy/Drama/Mystery,0.0,6000000.0,sibling relationship/loss of loved one/sweden/bishop/dying and death/funeral/theatre group/child prodigy/ghost/christmas/early 1900s,3.898936170212766,5961
175,176,Hutong Barber,2006,4.33,,,,,,,0
176,177,"Dear Sir, I Love You",2011,4.33,,,,,,,0
177,178,Pauly,1998,4.33,US,Comedy/Family,0.0,0.0,parrot/research/thief/girl/mexican american,2.875,36568
178,179,Greatest Showman,2017,4.32,US,Drama,84000000.0,432844677.0,circus/musical/biography/diversity/based on a true story/outcast/singing/dreamer/freak show/showman,,316029
179,180,Hula Girl,2006,4.32,JP,Comedy/Drama/Family,0.0,0.0,dancing/hope/mining town/bankruptcy/tourist attraction/hula,,38305
180,181,Star Wars 5 Empire Strikes Back,1980,4.32,US,Adventure/Action/Science Fiction,18000000.0,538400000.0,rebel/android/asteroid/spacecraft/space battle/snow storm/space colony/lightsaber/jedi/good vs evil/rebellion/the force/space opera/stormtrooper/wookie/jedi master/jedi training/droid,4.163358147229116,1891
181,182,Not Destiny,2005,4.32,US,Fantasy/Comedy/Science Fiction/Romance,20000000.0,15379253.0,wish,2.8125,2612
182,183,Paper Moon,1973,4.32,US,Comedy/Crime/Drama,2500000.0,30900000.0,bible/con man/carnival/funeral/great depression/missouri/friendship/aunt/kansas/girl/con/road movie/tween girl,3.9090909090909087,11293
183,184,Zombie,1978,4.32,US,Comedy/Horror,0.0,0.0,strip club/striptease/zombie/lap dance/violence/strip tease/head crushing/small town girl,2.409090909090909,13009
184,185,Ending Note,2011,4.32,JP,Documentary,0.0,0.0,woman director,,294194
185,186,Love Circumference Ohm Shanty Ohm,2007,4.32,,,,,,,0
186,187,Minami Kami-sama Secret of the Secrets Make a Miracle ♪ Teppuru and Dokidoki Komatama World,2017,4.32,,,,,,,0
187,188,Condolences,1940,4.32,,,0.0,0.0,,,373823
188,189,Deadly Kill 4 The Harassment,1987,4.32,,,,,,,0
189,190,For The Boys,1991,4.32,US,Music/Drama,40000000.0,23202444.0,dancer/entertainer/concert,2.730769230769231,25221
190,191,Mariya Yoshiya,1955,4.32,,,,,,,0
191,192,Mission: Impossible 6 Fallout,2018,4.31,CN,Action/Adventure,178000000.0,791017452.0,"paris, france/london, england/spy/helicopter/plutonium/gun/countdown/race against time/sequel/motorcycle/violence/bomb remote detonator/handgun/hand to hand combat/kashmir",,353081
192,193,The Strongest Two,2011,4.31,,,,,,,0
193,194,Star Wars 4,1977,4.31,US,Adventure/Action/Science Fiction,11000000.0,775398007.0,android/galaxy/hermit/death star/lightsaber/jedi/rescue mission/empire/rebellion/planet/smuggler/the force/space opera/galactic war/stormtrooper/totalitarianism,4.189457202505219,11
194,195,Good Will Hunting Departure,1997,4.31,,,,,,,0
195,196,Leonard's Morning,1990,4.31,,,,,,,0
196,197,Responsible Helper,2012,4.31,,,,,,,0
197,198,Towering Inferno,1974,4.31,US,Action/Thriller,14000000.0,116000000.0,san francisco/fire/helicopter/skyscraper/firemen/fire engine/rescue/disaster/explosion/trapped/elevator/disaster movie/world's tallest building,2.9421052631578952,5919
198,199,Charge,1995,4.31,GB,Documentary,0.0,0.0,motor sport/motorcycle/green energy/isle of man,,189498
199,200,Ben Her,1959,4.31,TR,Comedy,0.0,0.0,remake,,445650
200,201,Full of Sun,1960,4.31,FR,Romance/Drama,0.0,0.0,morocco/brotherhood/man between two women/summer holiday,,338345
201,202,Dave,1993,4.31,US,Comedy,0.0,63000000.0,coma/the white house/u.s. president/apoplectic stroke/doppelgänger,3.6229428848015486,11566
202,203,Manipulated City,2017,4.31,KR,Action,0.0,0.0,video game/wrong accusal/murder/jail/gamer/hacking/jail break,,435366
203,204,Masked Rider 555 (Faiz) Paradise Lost,2003,4.31,,,,,,,0
204,205,Son,1991,4.31,CN,Adventure/Fantasy,95000000.0,114178613.0,based on novel or book/magic/chosen one/dark fantasy/witch hunter/evil witch/sword and sorcery/based on young adult novel,,68737
205,206,Cibel Sunday,1962,4.31,,,,,,,0
206,207,Every Day,2016,4.31,,,0.0,0.0,,,458136
207,208,Magdalen Prayer,2002,4.31,,,,,,,0
208,209,New Participant 2 When the prayer curtain goes down,2017,4.3,,,,,,,0
209,210,Happiness Hidden,2009,4.3,,,,,,,0
210,211,Evening Town Cherry Blossoms,2007,4.3,,,,,,,0
211,212,Madame in New York,2012,4.3,,,,,,,0
212,213,Amadeus Director's Cut,2002,4.3,,,,,,,0
213,214,"$ 3 Series, Sunset Gunman Jigoku of Hell",1966,4.3,,,,,,,0
214,215,I like it hot,1959,4.3,US,Comedy/Romance,2883848.0,25000000.0,chicago/florida/witness/musician/mafia/cross dressing/train/band/spats/all girl band/st. valentine's day massacre/sugar/valentine's day/dressing,4.0994940978077565,239
215,216,Athletic shoes and red goldfish,1997,4.3,,,,,,,0
216,217,Crossing,2008,4.3,US,Drama/Thriller/Crime,14000000.0,5080409.0,corruption/street gang/prohibition era/gun/irish-american/gambling debts/irish mob/violence/neo-noir/1920s,3.993788819875777,379
217,218,I am radio,2003,4.3,,,,,,,0
218,219,Walk to Remember,2002,4.3,US,Drama/Romance,11800000.0,47494916.0,based on novel or book/theatre group/north carolina/theatre milieu/high school/cancer/coming of age/tragic love/teenager/star crossed lovers,3.3717948717948723,10229
219,220,Seishun Dendekedekedeke,1992,4.3,,,,,,,0
220,221,Railroader,1956,4.3,,,0.0,0.0,,,523356
221,222,Fandango,1985,4.3,US,Comedy/Drama,0.0,0.0,trip/airplane/skydiving/automobile/surprise party/austin texas/road movie/male bonding/firework/dusty/stunt flying,3.625,20348
222,223,Pearl Button,2014,4.3,CL,Documentary,0.0,0.0,,,319994
223,224,Surely works,2009,4.29,,,,,,,0
224,225,The silence of the sheep,1991,4.29,,,,,,,0
225,226,Gladiator,2000,4.29,GB,Action/Drama/Adventure,103000000.0,457640427.0,rome italy/parent child relationship/gladiator/arena/senate/roman empire/emperor/slavery/ancient rome/battlefield/slave auction/ancient world/combat/chariot/philosopher/fictionalized history/barbarian horde/2nd century/successor/maximus,3.9269406392694064,98
226,227,Alien,1979,4.29,US,Horror/Science Fiction,11000000.0,104931801.0,android/spacecraft/countdown/space marine/space suit/beheading/space travel/dystopia/biology/cowardice/space/alien/female protagonist/cult film/parasite/h. r. giger/cosmos/xenomorph,4.0118974984746805,348
227,228,Kamen Rider Heisei Generations Dr. Pac-Man vs. Ex-Aid & Ghost with Legend Rider,2016,4.29,JP,Action/Adventure/Science Fiction,0.0,0.0,video game/tokusatsu/pac-man,,433810
228,229,Galaxy Quest,1999,4.29,US,Comedy/Family/Science Fiction,45000000.0,90683916.0,spacecraft/space battle/spoof/fictional tv show,3.6666666666666665,926
229,230,Kanda Maru,1982,4.29,,,,,,,0
230,231,The Man Who Stole the Sun,1979,4.29,JP,Action/Crime/Thriller,0.0,0.0,plutonium/1970s/atomic bomb/terrorism/high school teacher,,59352
231,232,Ultraman Mebius & Ultra Brothers,2006,4.29,JP,Action/Adventure/Science Fiction,0.0,0.0,tokusatsu/ultraman mebius/ultraseven/ultraman jack/ultraman ace/ultraman taro/zoffy,,118717
232,233,Sabishinbo,1985,4.29,JP,Romance/Comedy,0.0,0.0,,,261525
233,234,The light that my brother lit that day,2016,4.29,,,,,,,0
234,235,The demon came!,2000,4.29,,,,,,,0
235,236,Beijing Violin,2002,4.29,,,,,,,0
236,237,Hana Miracle 46 Days,2012,4.29,,,,,,,0
237,238,Candidates,2013,4.29,JP,Documentary,0.0,0.0,,,273464
238,239,Pride and Prejudice,1995,4.29,FR,Drama/Romance,28000000.0,121147947.0,based on novel or book/bachelor/prejudice/suitor/period drama/georgian/pride/18th century/opposites attract,3.7734375,4348
239,240,Flame 628,1985,4.29,,,,,,,0
240,241,Grandfather and Grassland Elementary School,2010,4.29,,,,,,,0
241,242,Irma la Douce,1963,4.29,US,Comedy/Romance,0.0,0.0,"paris, france/prostitute/pimp/love of one's life/red-light disctrict/pub/police",3.4558823529411766,2690
242,243,The last Emperor / original full-length version,1987,4.29,,,,,,,0
243,244,underground water supply,1956,4.29,,,,,,,0
244,245,Resistance-From the Note of the Death Penalty-,1956,4.29,,,,,,,0
245,246,A Woman Is Born Twice,1961,4.29,,,,,,,0
