,rank,name,year,IMDB_rating
221,222,Hotel Rwanda,2004,8.0
222,223,Amores Perros,2000,8.0
223,224,Dead Poets Society,1989,8.0
224,225,Spotlight,2015,8.0
225,226,Ace in the Hole,1951,8.0
226,227,Rebecca,1940,8.0
227,228,White Heat,1949,8.0
228,229,Rocky,1976,8.0
229,230,"Monsters, Inc.",2001,8.0
230,231,The Handmaiden,2016,8.0
231,232,It Happened One Night,1934,8.0
232,233,La Haine,1995,8.0
233,234,Gangs of Wasseypur,2012,8.0
234,235,Lagaan: Once Upon a Time in India,2001,8.0
235,236,The Princess Bride,1987,8.0
236,237,PK,2014,8.0
237,238,Before Sunset,2004,8.0
238,239,The Help,2011,8.0
239,240,Butch Cassidy and the Sundance Kid,1969,8.0
240,241,In the Mood for Love,2000,8.0
241,242,The Terminator,1984,8.0
242,243,Akira,1988,8.0
243,244,"Paris, Texas",1984,8.0
244,245,Munna Bhai M.B.B.S.,2003,8.0
245,246,Aladdin,1992,8.0
246,247,Guardians of the Galaxy,2014,8.0
247,248,Infernal Affairs,2002,8.0
248,249,The Battle of Algiers,1966,8.0
249,250,Castle in the Sky,1986,8.0
